alpha,mu,participation,promote,oppose
0.2,35.0,1.0,0.0,0.10999999999999999
0.08,43.0,1.0,0.0,0.08
0.24,33.0,1.0,0.0,0.10999999999999999
0.06,41.0,1.0,0.0,0.06999999999999999
0.14,39.0,1.0,0.0,0.06000000000000001
0.04,45.0,1.0,0.0,0.08
0.12,41.0,1.0,0.0,0.08
0.18,37.0,1.0,0.0,0.06000000000000001
0.0,47.0,1.0,0.0,0.08
0.1,40.0,1.0,0.0,0.10999999999999999
0.02,45.0,1.0,0.0,0.06000000000000001
0.2,36.0,1.0,0.0,0.06000000000000001
0.16,35.0,1.0,0.0,0.11000000000000001
0.08,44.0,1.0,0.0,0.09
0.24,34.0,1.0,0.0,0.06000000000000001
0.06,42.0,1.0,0.0,0.10999999999999999
0.14,40.0,1.0,0.0,0.08
0.04,46.0,1.0,0.0,0.09
0.12,42.0,1.0,0.0,0.09
0.0,48.0,1.0,0.0,0.09
0.18,38.0,1.0,0.0,0.08
0.1,41.0,1.0,0.0,0.06000000000000001
0.2,37.0,1.0,0.0,0.08
0.02,46.0,1.0,0.0,0.08
0.16,36.0,1.0,0.0,0.06999999999999999
0.08,45.0,1.0,0.0,0.12
0.24,35.0,1.0,0.0,0.08
0.06,43.0,1.0,0.0,0.06000000000000001
0.14,41.0,1.0,0.0,0.09
0.04,47.0,1.0,0.0,0.12
0.12,43.0,1.0,0.0,0.12
0.22,30.0,1.0,0.0,0.0
0.18,39.0,1.0,0.0,0.09
0.0,49.0,1.0,0.0,0.12
0.1,42.0,1.0,0.0,0.08
0.2,38.0,1.0,0.0,0.09
0.02,47.0,1.0,0.0,0.09
0.16,37.0,1.0,0.0,0.10999999999999999
0.14,42.0,1.0,0.0,0.12
0.06,44.0,1.0,0.0,0.08
0.24,36.0,1.0,0.0,0.09
0.2,39.0,1.0,0.0,0.12
0.22,31.0,1.0,0.0,0.14
0.24,38.0,1.0,0.0,0.11000000000000001
0.18,40.0,1.0,0.0,0.12
0.1,43.0,1.0,0.0,0.09
0.16,38.0,1.0,0.0,0.06000000000000001
0.02,48.0,1.0,0.0,0.12
0.24,37.0,1.0,0.0,0.12
0.06,45.0,1.0,0.0,0.09
0.24,39.0,1.0,0.0,0.06999999999999999
0.22,32.0,1.0,0.0,0.11000000000000001
0.1,44.0,1.0,0.0,0.12
0.16,39.0,1.0,0.0,0.08
0.24,40.0,1.0,0.0,0.15999999999999998
0.06,46.0,1.0,0.0,0.12
0.22,33.0,1.0,0.0,0.06999999999999999
0.16,40.0,1.0,0.0,0.09
0.26,12.0,1.0,0.0,0.0
0.28,11.0,1.0,0.0,0.0
0.24,41.0,1.0,0.0,0.11000000000000001
0.28,36.0,1.0,0.0,0.09
0.16,41.0,1.0,0.0,0.12
0.22,34.0,1.0,0.0,0.10999999999999999
0.26,37.0,1.0,0.0,0.09
0.28,12.0,1.0,0.0,0.0
0.3,10.0,1.0,0.0,0.0
0.26,13.0,1.0,0.0,0.0
0.28,37.0,1.0,0.0,0.15000000000000002
0.34,8.0,1.0,0.0,0.0
0.32,9.0,1.0,0.0,0.0
0.3,35.0,1.0,0.0,0.09
0.24,42.0,1.0,0.0,0.10999999999999999
0.22,35.0,1.0,0.0,0.06000000000000001
0.26,38.0,1.0,0.0,0.15000000000000002
0.28,13.0,1.0,0.0,0.0
0.32,34.0,1.0,0.0,0.09
0.22,36.0,1.0,0.0,0.08
0.26,14.0,1.0,0.0,0.0
0.3,11.0,1.0,0.0,0.0
0.3,36.0,1.0,0.0,0.15000000000000002
0.24,43.0,1.0,0.0,0.07999999999999999
0.28,38.0,1.0,0.0,0.1
0.32,10.0,1.0,0.0,0.0
0.34,9.0,1.0,0.0,0.0
0.34,33.0,1.0,0.0,0.09
0.26,39.0,1.0,0.0,0.1
0.28,14.0,1.0,0.0,0.0
0.26,15.0,1.0,0.0,0.0
0.22,37.0,1.0,0.0,0.09
0.28,39.0,1.0,0.0,0.1
0.32,35.0,1.0,0.0,0.15000000000000002
0.34,10.0,1.0,0.0,0.0
0.3,37.0,1.0,0.0,0.1
0.24,44.0,1.0,0.0,0.11000000000000001
0.3,12.0,1.0,0.0,0.0
0.32,11.0,1.0,0.0,0.0
0.34,34.0,1.0,0.0,0.15000000000000002
0.36,7.0,1.0,0.0,0.0
0.26,40.0,1.0,0.0,0.1
0.28,15.0,1.0,0.0,0.0
0.26,16.0,1.0,0.0,0.0
0.22,38.0,1.0,0.0,0.12
0.28,40.0,1.0,0.0,0.11000000000000001
0.32,36.0,1.0,0.0,0.1
0.3,38.0,1.0,0.0,0.1
0.3,13.0,1.0,0.0,0.0
0.24,45.0,1.0,0.0,0.08
0.32,12.0,1.0,0.0,0.0
0.34,35.0,1.0,0.0,0.1
0.36,8.0,1.0,0.0,0.0
0.26,41.0,1.0,0.0,0.11000000000000001
0.28,16.0,1.0,0.0,0.0
0.26,17.0,1.0,0.0,0.0
0.28,41.0,1.0,0.0,0.08
0.34,11.0,1.0,0.0,0.0
0.32,37.0,1.0,0.0,0.1
0.3,14.0,1.0,0.0,0.0
0.36,9.0,1.0,0.0,0.0
0.24,46.0,1.0,0.0,0.09000000000000001
0.32,13.0,1.0,0.0,0.0
0.34,36.0,1.0,0.0,0.1
0.26,18.0,1.0,0.0,0.0
0.26,42.0,1.0,0.0,0.08
0.28,17.0,1.0,0.0,0.0
0.28,42.0,1.0,0.0,0.08
0.34,12.0,1.0,0.0,0.0
0.32,38.0,1.0,0.0,0.11000000000000001
0.3,15.0,1.0,0.0,0.0
0.3,39.0,1.0,0.0,0.11000000000000001
0.36,10.0,1.0,0.0,0.0
0.32,14.0,1.0,0.0,0.0
0.24,47.0,1.0,0.0,0.08
0.34,37.0,1.0,0.0,0.11000000000000001
0.26,19.0,1.0,0.0,0.0
0.28,43.0,1.0,0.0,0.10000000000000002
0.32,39.0,1.0,0.0,0.08
0.26,43.0,1.0,0.0,0.08
0.34,13.0,1.0,0.0,0.0
0.36,11.0,1.0,0.0,0.0
0.3,16.0,1.0,0.0,0.0
0.3,40.0,1.0,0.0,0.08
0.32,15.0,1.0,0.0,0.0
0.34,38.0,1.0,0.0,0.08
0.26,20.0,1.0,0.0,0.0
0.32,40.0,1.0,0.0,0.08
0.3,17.0,1.0,0.0,0.0
0.24,48.0,1.0,0.0,0.12
0.36,12.0,1.0,0.0,0.0
0.28,18.0,1.0,0.0,0.0
0.26,44.0,1.0,0.0,0.10000000000000002
0.3,41.0,1.0,0.0,0.08
0.34,14.0,1.0,0.0,0.0
0.28,44.0,1.0,0.0,0.09
0.32,16.0,1.0,0.0,0.0
0.26,21.0,1.0,0.0,0.0
0.34,39.0,1.0,0.0,0.08
0.32,41.0,1.0,0.0,0.10000000000000002
0.3,18.0,1.0,0.0,0.0
0.24,49.0,1.0,0.0,0.1
0.36,13.0,1.0,0.0,0.0
0.26,45.0,1.0,0.0,0.09
0.28,19.0,1.0,0.0,0.0
0.36,32.0,1.0,0.0,0.09
0.28,45.0,1.0,0.0,0.07999999999999999
0.32,17.0,1.0,0.0,0.0
0.26,22.0,1.0,0.0,0.0
0.34,40.0,1.0,0.0,0.10000000000000002
0.32,42.0,1.0,0.0,0.09
0.3,19.0,1.0,0.0,0.0
0.36,14.0,1.0,0.0,0.0
0.26,46.0,1.0,0.0,0.07999999999999999
0.24,50.0,1.0,0.0,0.1
0.3,42.0,1.0,0.0,0.10000000000000002
0.36,33.0,1.0,0.0,0.15000000000000002
0.28,46.0,1.0,0.0,0.13
0.26,23.0,1.0,0.0,0.0
0.32,18.0,1.0,0.0,0.0
0.26,0.0,0.0,0.6699999999999999,0.0
0.34,41.0,1.0,0.0,0.09
0.32,43.0,1.0,0.0,0.07999999999999999
0.3,20.0,1.0,0.0,0.0
0.36,15.0,1.0,0.0,0.0
0.26,47.0,1.0,0.0,0.13
0.3,43.0,1.0,0.0,0.09
0.34,15.0,1.0,0.0,0.0
0.26,1.0,0.0,0.67,0.0
0.28,47.0,1.0,0.0,0.07999999999999999
0.26,24.0,1.0,0.0,0.0
0.32,19.0,1.0,0.0,0.0
0.34,42.0,1.0,0.0,0.07999999999999999
0.32,44.0,1.0,0.0,0.13
0.3,21.0,1.0,0.0,0.0
0.36,16.0,1.0,0.0,0.0
0.26,48.0,1.0,0.0,0.07999999999999999
0.28,20.0,1.0,0.0,0.0
0.34,16.0,1.0,0.0,0.0
0.36,34.0,1.0,0.0,0.1
0.28,48.0,1.0,0.0,0.14
0.26,25.0,1.0,0.0,0.0
0.32,20.0,1.0,0.0,0.0
0.34,43.0,1.0,0.0,0.13
0.32,45.0,1.0,0.0,0.07999999999999999
0.3,22.0,1.0,0.0,0.0
0.36,17.0,1.0,0.0,0.0
0.26,49.0,1.0,0.0,0.14
0.3,44.0,1.0,0.0,0.07999999999999999
0.36,35.0,1.0,0.0,0.1
0.28,49.0,1.0,0.0,0.06
0.26,26.0,1.0,0.0,0.0
0.32,21.0,1.0,0.0,0.0
