alpha,mu,lambda,participation,promote,oppose
,23.0,0.36,1.0,0.0,0.0
,37.0,0.32,1.0,0.0,0.0
,22.0,0.34,1.0,0.0,0.0
,24.0,0.36,1.0,0.0,0.0
,38.0,0.32,1.0,0.0,0.0
,23.0,0.34,1.0,0.0,0.0
,25.0,0.36,1.0,0.0,0.0
,24.0,0.34,1.0,0.0,0.0
,39.0,0.32,1.0,0.0,0.08
,26.0,0.36,1.0,0.0,0.0
,25.0,0.34,1.0,0.0,0.0
,27.0,0.36,1.0,0.0,0.0
,40.0,0.32,1.0,0.0,0.1
,26.0,0.34,1.0,0.0,0.0
,28.0,0.36,1.0,0.0,0.0
,41.0,0.32,1.0,0.0,0.09
,27.0,0.34,1.0,0.0,0.0
,29.0,0.36,1.0,0.0,0.0
,28.0,0.34,1.0,0.0,0.0
,30.0,0.36,1.0,0.0,0.0
,29.0,0.34,1.0,0.0,0.0
,31.0,0.36,1.0,0.0,0.0
,30.0,0.34,1.0,0.0,0.0
,32.0,0.36,1.0,0.0,0.0
,44.0,0.36,1.0,0.0,0.09
,31.0,0.34,1.0,0.0,0.0
,33.0,0.36,1.0,0.0,0.0
,45.0,0.36,0.95,0.02,0.17
,34.0,0.36,1.0,0.0,0.11000000000000001
,32.0,0.34,1.0,0.0,0.0
,46.0,0.36,1.0,0.0,0.09
,33.0,0.34,1.0,0.0,0.0
,34.0,0.34,1.0,0.0,0.0
,47.0,0.36,1.0,0.0,0.13
,35.0,0.34,1.0,0.0,0.0
,48.0,0.36,1.0,0.0,0.13
,36.0,0.34,1.0,0.0,0.06999999999999999
,49.0,0.26,0.97,0.03,0.14000000000000004
,50.0,0.26,1.0,0.0,0.1
,43.0,0.3,0.95,0.03,0.15000000000000002
,44.0,0.3,1.0,0.0,0.09999999999999999
,45.0,0.3,1.0,0.0,0.06
,46.0,0.3,1.0,0.0,0.12
,47.0,0.3,1.0,0.0,0.06000000000000001
,48.0,0.3,1.0,0.0,0.07999999999999999
,49.0,0.3,1.0,0.0,0.10999999999999999
,50.0,0.3,1.0,0.0,0.12999999999999998
,42.0,0.32,0.9400000000000001,0.04,0.12
,43.0,0.32,1.0,0.0,0.11000000000000001
,50.0,0.28,0.9800000000000001,0.03,0.14000000000000004
,44.0,0.34,0.97,0.05,0.09
,45.0,0.34,1.0,0.0,0.07999999999999999
,49.0,0.36,1.0,0.03,0.10999999999999999
,35.0,0.36,0.9100000000000001,0.030000000000000006,0.12
,37.0,0.34,0.96,0.03,0.13000000000000003
,44.0,0.32,1.0,0.04,0.11000000000000001
,45.0,0.32,1.0,0.0,0.14
,46.0,0.32,1.0,0.0,0.09
,47.0,0.32,1.0,0.0,0.13
,36.0,0.36,0.93,0.03,0.1
,37.0,0.36,1.0,0.0,0.11000000000000001
,38.0,0.36,1.0,0.0,0.06
,39.0,0.36,1.0,0.0,0.10999999999999999
,50.0,0.36,0.95,0.02,0.13
,38.0,0.34,0.9400000000000001,0.01,0.16999999999999998
,40.0,0.36,0.97,0.04,0.14
